Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\SAM_v1.0\Project Outputs for SAM_v1.0\Pick Place for FlexNodePCB.txt

========================================================================================================================
File Design Information:

Date:       15-07-26
Time:       10:42
Revision:   79a330ddaf020935f7ca650095ce58fd2a7f0a79
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                             
C20        CC1206KKX5R9BB106    TopLayer    FP-CC1206-FD-MFG                3,9370mm     46,9265mm    180      "CAP CER 10UF 50V X5R 1206"                                                                                                                                                                             
R16        CRGP0402F100K        TopLayer    FP-CRGP0402-IPC_C               8,9535mm     34,3535mm    90       "SMD Precision Pulse Thick Film Chip Resistor"                                                                                                                                                          
C21        CC0402KRX5R7BB225    TopLayer    FP-CC0402-CC-MFG                9,9060mm     34,3535mm    270      "CAP CER 2.2UF 16V X5R 0402"                                                                                                                                                                            
C15        CC0402KRX7R6BB474    TopLayer    FP-CC0402-MFG                   7,6835mm     34,7345mm    180      "CAP CER 0.47UF 10V X7R 0402"                                                                                                                                                                           
C16        0402YD105MAT2A       TopLayer    FP-0402-L_1_0_1-W_0_5_0_1-IPC_C 7,2390mm     43,1165mm    270      "General Purpose Ceramic Capacitor, 0402, 1uF, 20%, X5R, 15%, 16V"                                                                                                                                      
R17        AF0402FR-07249KL     TopLayer    FP-AF0402-IPC_C                 8,7630mm     43,1165mm    180      "Anti-Sulfurated Chip Resistors Automotive Grade 249kO 1% 100ppm/°C 0402"                                                                                                                               
R15        AC0402FR-7W1ML       TopLayer    FP-AC0402-MFG                   11,4935mm    42,7355mm    0        "RES 1MO ±1% 0.125W 0402"                                                                                                                                                                               
R13        AC0402FR-7W200KL     TopLayer    FP-AC0402-IPC_B                 10,9220mm    34,3535mm    90       "RES 200kO ±1% 0.125W 0402"                                                                                                                                                                             
C18        CC1206KKX5R9BB106    TopLayer    FP-CC1206-FD-MFG                3,9370mm     44,4818mm    180      "CAP CER 10UF 50V X5R 1206"                                                                                                                                                                             
L1         IHLP1616BZER2R2MA1   TopLayer    FP-IHLP-1616BZ-FP_1_8545x-MFG   4,0640mm     37,7825mm    270      "Fixed Inductors Automotive High Saturation Series SMT 2.2uH 2.85A 90mO 20%"                                                                                                                            
IC*1       "Legend-Si LGS5160C" TopLayer    SOP127P600X170_HS-9N            9,0805mm     38,8040mm    90       "65V, 3A Wide Output Range, Low Ripple, Synchronous Buck Converter"                                                                                                                                     
C19        CC1206KKX5R9BB106    TopLayer    FP-CC1206-FD-MFG                3,9370mm     42,0370mm    180      "CAP CER 10UF 50V X5R 1206"                                                                                                                                                                             
